total.pckts,tcp.pct,udp.pct,http.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.res.count,tcp.flag.ae.count,tcp.flag.cwr.count,tcp.flag.ece.count,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,http.statusok,http.statusnotok,http.get.pct,http.post.pct,http.othermethods.pct,http.useragent.unique,http.url.unique,http.avg.url.len,label
1473,80.24439918533605,0.0,19.75560081466395,0.0,26,26,26,26,169.33604887983708,272.2991913875286,74146.84963030193,66.0,990.0,66.0,66.0,74.0,0.0006770145057705,0.0020587114856806,4.238292981273489e-06,-8.0621e-05,0.024727185,3.3894e-05,9.2757e-05,0.000481153,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1323,291,0,300,291,0.6247386945100885,0.632430259815144,0.7700214309340935,9.775967413441954,90.22403258655804,9.979633401221996,0.0,90.020366598778,2,2,19.0,0
1488,80.1747311827957,0.0,19.8252688172043,0.0,26,26,26,26,171.31182795698925,275.2101688935682,75740.63706242634,66.0,990.0,66.0,66.0,74.0,0.0006718889038978,0.0019817307771804,3.927256873224338e-06,-6.1377e-05,0.023359575,3.28815e-05,8.9807e-05,0.00045276575,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1339,295,0,298,298,0.6264525736493236,0.6297191999564684,0.7749747704374733,10.013440860215054,89.98655913978494,9.811827956989246,0.0,90.18817204301077,2,2,19.0,0
1477,80.09478672985783,0.0,19.83750846310088,0.0677048070412999,27,27,26,27,170.2450914014895,273.6503457063875,74884.51170522538,66.0,990.0,66.0,66.0,74.0,0.0006744683270142,0.0019812308850825,3.925275820004965e-06,-5.206e-05,0.024477923,3.2814e-05,8.5654e-05,0.000470357,63.95666892349357,1.6652894332252417,2.7731888964116465,0.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1332,293,0,288,296,0.6257607715576164,0.6336072690186156,0.7730469801065306,9.88490182802979,90.1150981719702,9.95260663507109,0.0,90.04739336492891,2,2,19.0,0
1500,80.06666666666666,0.0,19.933333333333334,0.0,26,26,26,26,171.324,275.0247566465832,75638.61676851232,66.0,990.0,66.0,66.0,74.0,0.000665904362,0.0021530082062772,4.635444336297248e-06,-6.8915e-05,0.026197421,3.25985e-05,8.53225e-05,0.0004425562499999,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1350,299,0,300,299,0.6287600809557923,0.6318397058963833,0.7681612421036372,10.0,90.0,9.933333333333334,0.0,90.06666666666666,2,2,19.0,0
1494,80.18741633199464,0.0,19.812583668005352,0.0,26,26,26,26,170.42302543507364,273.904687917002,75023.77806291026,66.0,990.0,66.0,66.0,74.0,0.0006688540240963,0.0020645161331441,4.262226864012421e-06,-8.0818e-05,0.02457888,3.21115e-05,8.442350000000001e-05,0.00043197375,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1345,296,0,298,299,0.6281748865673789,0.6325458475568204,0.7706066244919758,9.906291834002676,90.09370816599731,9.906291834002676,0.0,90.09370816599731,2,2,19.0,0
1485,80.06734006734007,0.0,19.93265993265993,0.0,26,26,26,26,171.0020202020202,274.6327282766203,75423.13544065997,66.0,990.0,66.0,66.0,74.0,0.000672307053872,0.001969438006391,3.878686061017684e-06,-6.0955e-05,0.021934001,3.2939e-05,8.3823e-05,0.000442089,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1341,296,0,288,298,0.6295316306808795,0.6358817331554316,0.7716562444304835,9.966329966329964,90.03367003367003,9.966329966329964,0.0,90.03367003367003,2,2,19.0,0
1498,80.10680907877169,0.0,19.893190921228303,0.0,26,26,26,26,170.826435246996,274.387733883619,75288.62850578771,66.0,990.0,66.0,66.0,74.0,0.0006654338771695,0.001971499735802,3.886811208267434e-06,-4.526e-05,0.022123422,3.3785e-05,9.92675e-05,0.000483912,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1350,298,0,296,299,0.6311202575924103,0.6364790729121171,0.7694617634328585,9.946595460614152,90.05340453938585,9.946595460614152,0.0,90.05340453938585,2,2,19.0,0
1502,80.0266311584554,0.0,19.973368841544605,0.0,26,26,26,26,171.23834886817576,274.8628495390001,75549.58605669899,66.0,990.0,66.0,66.0,74.0,0.0006623033601864,0.001884833117932,3.5525958824533576e-06,-4.6423e-05,0.0216946,3.342075e-05,9.98685e-05,0.0004671185,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1354,300,0,296,300,0.6330153941163351,0.6369323387465808,0.8319186131079005,9.986684420772304,90.0133155792277,9.986684420772304,0.0,90.0133155792277,2,2,19.0,0
1500,80.0,0.0,20.0,0.0,26,26,26,26,171.38933333333333,275.0153184275416,75633.4253698021,66.0,990.0,66.0,66.0,74.0,0.0006635208853333,0.0018024899574459,3.248970046693326e-06,-5.4881e-05,0.019825045,3.388875e-05,9.61195e-05,0.00047113575,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1351,300,0,298,300,0.6348313498713624,0.6361311823048256,0.8253441534746391,10.0,90.0,10.0,0.0,90.0,2,2,19.0,0
1497,79.95991983967936,0.0,20.04008016032064,0.0,26,26,26,26,171.58984635938543,275.2543405332533,75764.95198239617,66.0,990.0,66.0,66.0,74.0,0.000664925004008,0.0018620938011104,3.467393324133796e-06,-5.5625e-05,0.020343866,3.3266e-05,9.2041e-05,0.000471888,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1349,300,0,296,300,0.6361259315125809,0.6367785656117996,0.8232092219945272,10.02004008016032,89.97995991983969,10.02004008016032,0.0,89.97995991983969,2,2,19.0,0
