timestamp,hostname,in_iface,out_iface,mac,src_ip,dst_ip,len,tos,prec,ttl,id,proto,spt,dpt,seq,ack,window,urgp,mark
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,43,7320,TCP,63572,1433,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,56,53941,TCP,63572,1272,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,43,17887,TCP,63572,3221,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,55,33397,TCP,63572,1114,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,46,35680,TCP,63572,32773,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,56,53463,TCP,63572,13,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,45,31557,TCP,63572,9415,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,47,27964,TCP,63572,9090,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,41,65477,TCP,63572,6666,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,49,63665,TCP,63572,514,1963706157,0,1024,0,0
