total.pckts,tcp.pct,udp.pct,http.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.res.count,tcp.flag.ae.count,tcp.flag.cwr.count,tcp.flag.ece.count,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,http.statusok,http.statusnotok,http.get.pct,http.post.pct,http.othermethods.pct,http.useragent.unique,http.url.unique,http.avg.url.len,label
1493,80.97789685197588,0.0,19.022103148024115,0.0,26,26,26,26,166.33221701272606,269.1355678854928,72433.9539010467,66.0,990.0,66.0,66.0,74.0,0.0006697391634293369,0.00558343112496455,3.11747031272229e-05,-9.6908e-05,0.085575842,1.9615e-05,6.2816e-05,0.000234741,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1343,284,0,300,291,0.6115668356346469,0.6392957950509676,0.8036648462581502,9.511051574012058,90.48894842598794,9.511051574012058,0.0,90.48894842598794,2,2,19.0,0
1478,80.85250338294993,0.0,19.147496617050066,0.0,26,26,26,26,168.36941813261163,272.00786845137054,73988.2804994581,66.0,990.0,66.0,66.0,74.0,0.0006676231617050068,0.005554368866250779,3.085101350237597e-05,-6.1058e-05,0.085654459,1.96985e-05,6.63455e-05,0.0002348745,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1328,283,0,300,296,0.6185420909696364,0.6320091823178137,0.7933084208876777,9.742895805142084,90.25710419485792,9.404600811907985,0.0,90.59539918809202,2,2,19.0,0
1524,80.31496062992126,0.0,19.68503937007874,0.0,26,26,26,26,169.74015748031496,273.15149772731934,74611.74071067774,66.0,990.0,66.0,66.0,74.0,0.000649023685695538,0.005626188558443362,3.165399769515899e-05,-4.5573e-05,0.087883709,2.033875e-05,6.42195e-05,0.0002223225,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1374,300,0,300,300,0.6183964499300482,0.633394621274635,0.8531503512043582,9.84251968503937,90.15748031496062,9.84251968503937,0.0,90.15748031496062,2,2,19.0,0
1529,80.3793328973185,0.0,19.62066710268149,0.0,26,26,26,26,169.37998691955528,272.7762016193772,74406.85616989512,66.0,990.0,66.0,66.0,74.0,0.0006455909666448659,0.005715417339817923,3.2665995368291384e-05,-9.3196e-05,0.088266902,1.8985e-05,5.4367e-05,0.000184597,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1381,300,0,296,300,0.6170599803316217,0.6378083960013393,0.8610665963612913,9.810333551340745,90.18966644865925,9.810333551340745,0.0,90.18966644865925,2,2,19.0,0
1490,79.86577181208054,0.0,20.13422818791946,0.0,26,26,26,26,171.91409395973153,275.8687127572201,76103.54667832561,66.0,990.0,66.0,66.0,74.0,0.0006702981798657717,0.005963282169611413,3.5560734234405404e-05,-7.9743e-05,0.09083274,1.9208499999999997e-05,5.0144e-05,0.00015648425,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1358,300,0,264,300,0.6261004197633658,0.6431955111867025,0.853080553283059,10.06711409395973,89.93288590604027,10.06711409395973,0.0,89.93288590604027,2,2,19.0,0
1511,80.14559894109861,0.0,19.854401058901388,0.0,26,26,26,26,170.57974851091993,274.17385616461524,75171.30340417512,66.0,990.0,66.0,66.0,74.0,0.0006071009463931172,0.005374689584585043,2.8887288130646942e-05,-5.3068e-05,0.08951401,1.90985e-05,5.1868e-05,0.0001664045,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1366,300,0,290,300,0.6304620865880374,0.64412828381025,0.8497733587280087,9.927200529450694,90.0727994705493,9.927200529450694,0.0,90.0727994705493,2,2,19.0,0
1526,80.34076015727392,0.0,19.65923984272608,0.0,26,26,26,26,169.60419397116644,272.99814078891154,74527.98487420236,66.0,990.0,66.0,66.0,74.0,0.0006028915196592398,0.005230753052727591,2.736077749861901e-05,-7.4438e-05,0.087871965,1.957075e-05,5.95775e-05,0.00018760875,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1376,300,0,300,300,0.6288806943862754,0.645657578061115,0.8550393694190349,9.82961992136304,90.17038007863695,9.82961992136304,0.0,90.17038007863695,2,2,19.0,0
1525,80.32786885245902,0.0,19.672131147540984,0.0,26,26,26,26,169.672131147541,273.07478817723273,74569.83993804052,66.0,990.0,66.0,66.0,74.0,0.0006040658590163935,0.005190175216728498,2.6937918780342707e-05,-7.7856e-05,0.088039599,2.0383e-05,6.2037e-05,0.00022619,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1375,300,0,300,300,0.6292771722323148,0.6453958615217873,0.8541026811071267,9.836065573770492,90.1639344262295,9.836065573770492,0.0,90.1639344262295,2,2,19.0,0
1520,80.26315789473685,0.0,19.736842105263158,0.0,26,26,26,26,170.01315789473685,273.45895912988783,74779.80232840165,66.0,990.0,66.0,66.0,74.0,0.0006058728907894737,0.0052697665601908125,2.7770439598905312e-05,-6.256e-05,0.088171748,1.90075e-05,5.40235e-05,0.00018266225000000002,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1370,300,0,300,300,0.6307608042759746,0.6437240526859398,0.8491709072667112,9.868421052631579,90.13157894736842,9.868421052631579,0.0,90.13157894736842,2,2,19.0,0
1527,80.35363457760315,0.0,19.646365422396855,0.0,26,26,26,26,169.53634577603142,272.92155548334847,74486.17544745047,66.0,990.0,66.0,66.0,74.0,0.0006024598369351669,0.005232346334069007,2.7377448159645383e-05,-6.8548e-05,0.087709388,1.9801e-05,6.111e-05,0.0001855635,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1377,300,0,300,300,0.6286295070003343,0.6460194839700971,0.8559610094460312,9.823182711198427,90.17681728880157,9.823182711198427,0.0,90.17681728880157,2,2,19.0,0
